µçÑ¹,µçÁ÷
-225.682,0.024
-212.915,0.024
-199.817,0.024
-186.801,0.024
-173.366,0.024
-159.259,0.024
-145.316,0.025
-130.529,0.025
-115.227,0.025
-99.808,0.025
-83.318,0.025
-65.677,0.025
-48.944,0.026
-34.338,0.026
-19.108,0.026
-2.861,0.026
14.531,0.026
32.197,0.026
49.131,0.026
66.265,0.027
82.36,0.027
97.57,0.027
112.655,0.027
127.168,0.027
140.885,0.027
153.523,0.027
167.423,0.027
181.249,0.028
194.188,0.028
207.527,0.028
219.693,0.028
228.944,0.028
235.834,0.028
243.624,0.028
253.715,0.028
262.718,0.031
270.275,0.18
277.294,1.101
283.746,2.384
289.62,2.925
294.756,2.953
299.382,2.823
303.722,2.706
308.664,2.837
314.025,2.983
318.954,2.892
322.924,2.585
325.716,2.133
327.569,1.707
329.103,1.462
330.49,1.318
331.603,1.17
332.282,0.98
332.409,0.747
331.644,0.443
327.872,0.11
317.419,-0.02
301.356,-0.029
286.025,-0.029
275.611,-0.029
266.793,-0.029
257.228,-0.029
247.666,-0.029
237.396,-0.029
225.619,-0.03
212.807,-0.03
199.751,-0.03
187.049,-0.03
173.935,-0.03
160.01,-0.03
146.354,-0.031
131.721,-0.031
116.333,-0.031
100.841,-0.031
84.429,-0.031
66.835,-0.031
49.703,-0.031
34.425,-0.032
18.84,-0.032
2.522,-0.032
-14.732,-0.032
-32.35,-0.032
-49.335,-0.033
-66.362,-0.033
-82.233,-0.033
-96.863,-0.033
-111.009,-0.033
-125.392,-0.033
-139.849,-0.033
-153.288,-0.034
-167.721,-0.034
-181.395,-0.034
-193.887,-0.034
-207.188,-0.034
-219.588,-0.034
-229.197,-0.034
-236.293,-0.034
-244.007,-0.035
-253.875,-0.035
-262.61,-0.036
-270.016,-0.159
-277.001,-1.006
-283.319,-2.272
-288.927,-2.809
-293.745,-2.825
-298.469,-2.823
-303.578,-2.93
-309.066,-3.07
-314.419,-3.066
-319.104,-2.862
-322.911,-2.538
-325.717,-2.123
-327.615,-1.72
-329.146,-1.469
-330.549,-1.327
-331.692,-1.191
-332.412,-1.007
-332.591,-0.775
-331.893,-0.471
-328.221,-0.128
-317.845,0.012
-301.781,0.023
-286.324,0.023
-275.79,0.023
-267.181,0.023
-257.899,0.023
-248.513,0.023
-238.46,0.023
-226.868,0.024
-213.921,0.024
-200.548,0.024
-187.445,0.024
-174.138,0.024
-160.13,0.024
-146.359,0.024
-131.83,0.025
-116.549,0.025
-101.014,0.025
-84.528,0.025
-66.985,0.025
-50.266,0.026
-35.578,0.026
-20.331,0.026
-4.147,0.026
12.954,0.026
30.362,0.026
47.792,0.026
65.36,0.026
81.426,0.027
96.904,0.027
111.926,0.027
126.385,0.027
140.097,0.027
152.54,0.027
166.424,0.027
180.331,0.028
192.997,0.028
206.234,0.028
218.583,0.028
228.218,0.028
235.456,0.028
243.143,0.028
253.057,0.028
262.13,0.029
269.732,0.149
276.849,0.998
283.35,2.299
289.221,2.888
294.34,2.932
298.977,2.817
303.283,2.694
308.16,2.819
313.558,2.991
318.609,2.93
322.72,2.639
325.666,2.196
327.589,1.747
329.092,1.471
330.455,1.314
331.566,1.169
332.258,0.984
332.411,0.754
331.718,0.456
328.213,0.122
318.251,-0.018
302.533,-0.029
286.952,-0.029
276.149,-0.029
267.326,-0.029
257.71,-0.029
248.171,-0.029
238.083,-0.03
226.585,-0.03
214.016,-0.03
200.962,-0.03
188.138,-0.03
174.978,-0.03
160.945,-0.03
147.227,-0.03
132.765,-0.03
117.572,-0.031
102.206,-0.031
85.794,-0.031
68.027,-0.031
50.566,-0.032
35.149,-0.032
19.861,-0.032
3.838,-0.032
-13.192,-0.032
-30.908,-0.032
-47.979,-0.033
-65.234,-0.033
-81.332,-0.033
-95.8,-0.033
-109.852,-0.033
